last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Smith, Drew,622098,95.7,95.6,,85.4,85.2,77.7,,
Snead, Kirby,669912,93.5,93.3,,82,87.6,,,
Megill, Trevor,656730,98,98.9,,88.5,,83.3,,
Henry, Tommy,674072,91.6,91.3,,85.7,84.7,80.6,,
Bleier, Richard,542947,90.7,89.8,87.3,77.7,82.9,,,
Foster, Matt,641582,93.7,,92.6,85.8,83.9,79.6,,
King, Michael,650633,96.4,95.5,,82.3,88.3,,,
Strahm, Matt,621381,94.2,94,,88.6,88.2,82.7,,
Lawrence, Justin,664875,,95.1,,82.3,,,,
Loáisiga, Jonathan,642528,98.2,98,,,89.9,86.9,,
Gott, Trevor,641627,95.2,95.1,91.5,,90.2,82.7,,
McCullers Jr., Lance,621121,,93.1,88.3,85.1,87,82.7,,
Littell, Zack,641793,94.5,,,87.9,,,85.6,
Marinaccio, Ron,676760,94.6,,,80.4,83.9,,,
Lee, Dylan,669276,92.1,,,83.8,86.3,,,
Nance, Tommy,667297,93.8,94.2,,86.9,,85.3,,
Martin, Brett,656685,93.5,93.5,,86.8,,82.8,,
Wisler, Matt,605538,89.7,,,79.8,,,,
King, John,667463,,92.4,86.7,78.9,80.7,,,
Castellanos, Humberto,528748,89.4,90.4,,86.2,84,76.5,,
Bird, Jake,656234,,95,91.4,,88,81.7,,
Hill, Tim,657612,91.5,89.5,88.9,82.4,,,,
Cotton, Jharel,605194,92.7,,,79.5,79.7,76.2,,
Sandlin, Nick,680704,93.6,93.5,,78.9,,,88.3,
Long, Sam,669674,94.7,93,,,84.3,77,,
Weems, Jordan,607179,96.8,,,88.2,87.3,80.1,,
Moll, Sam,594580,,93.3,,81.7,,,,
Pepiot, Ryan,686752,93.9,,,86.7,86.8,,,
Cabrera, Génesis,650893,96.1,95.9,,87.4,90.2,79.3,,
Pineda, Michael,501381,89.9,,,80.7,85.3,,,
Staumont, Josh,622251,96.1,97.1,,,,82.2,,
Mayza, Tim,641835,94,93.7,,88.6,,,,
Duffey, Tyler,608648,92.3,92.4,,,79.1,82.7,,
Weaver, Luke,596133,94.9,94.7,88.1,84.6,86.9,80.1,,
Bañuelos, Manny,544365,93.7,93.4,,85.8,83.1,81.7,,
Matzek, Tyler,554431,94.1,,,83.2,,77.7,,
Pressly, Ryan,519151,94.5,,,89.7,89.1,81,,
Brogdon, Connor,641401,95.1,,88.3,,83.8,,,
Richards, Garrett,572070,94.4,95.7,,88.6,90,76.7,,
Abreu, Albert,656061,97.6,98.5,,88.6,88,,,
Ragans, Cole,666142,92.1,,88.5,,82.1,76.3,,
Karinchak, James,675916,95.2,,,,,82.9,,
Kelly, Joe,523260,97.1,97.9,,,87.1,88.1,,
Stammen, Craig,489334,91,91.4,87.8,81.5,86.9,79.6,,
Woodford, Jake,663765,92.4,91.8,,82.1,85.2,75.3,,
Castillo, Max,666721,93,,,83.4,87.5,,,
Gibaut, Ian,664139,95.8,,92.4,84.2,85.9,,,
Peralta, Wily,503449,95.4,95.5,,83.6,,,82.6,
Barnes, Matt,598264,95,,,,87.2,84.1,,
Howard, Spencer,675921,94.4,,84.8,,79.5,75,,
Quijada, José,650671,94.5,,,81.3,86.9,,,
Assad, Javier,665871,92.9,92.3,88.1,81.2,85.4,75.9,,
